Telemetry Packet Layout — Parsed Table
Note: Byte order = little-endian. All * table items valid only when a
calibration table is connected.

Columns: Name | Type | (min/max) | Spf | Start Byte | Bytes | Description | Units

v_x1_pss_0 | d | (0.0, 50.0) | 1 | 0   | 8  | Voltage | V
v_x2_pss_0 | d | (0.0, 50.0) | 1 | 8   | 8  | Voltage | V
v_y1_pss_0 | d | (0.0, 50.0) | 1 | 16  | 8  | Voltage | V
v_y2_pss_0 | d | (0.0, 50.0) | 1 | 24  | 8  | Voltage | V
v_sum_pss_0| d | (0.0, 50.0) | 1 | 32  | 8  | Voltage | V
thresh_pss_0| d | (0.0, 10.0) | 1 | 40  | 8  | (threshold) | --
radius_pss_0| d | (0.0, 20.0) | 1 | 48  | 8  | (radius) | --
good_pss_0  | c | --           | 1 | 56  | 1  | (good flag) | --
x_raw_pss_0 | d | --           | 1 | 57  | 8  | Raw X | --
y_raw_pss_0 | d | --           | 1 | 65  | 8  | Raw Y | --
x_corr_pss_0| d | --           | 1 | 73  | 8  | Corrected X | --
y_corr_pss_0| d | --           | 1 | 81  | 8  | Corrected Y | --
az_pss_0    | d | (0.0,360.0)  | 1 | 89  | 8  | Azimuth | deg
el_pss_0    | d | (0.0,360.0)  | 1 | 97  | 8  | Elevation | deg
valid_pss_0 | c | --           | 1 | 105 | 1  | (valid flag) | --

v_x1_pss_1 | d | (0.0, 50.0) | 1 | 106 | 8  | Voltage | V
v_x2_pss_1 | d | (0.0, 50.0) | 1 | 114 | 8  | Voltage | V
v_y1_pss_1 | d | (0.0, 50.0) | 1 | 122 | 8  | Voltage | V
v_y2_pss_1 | d | (0.0, 50.0) | 1 | 130 | 8  | Voltage | V
v_sum_pss_1| d | (0.0, 50.0) | 1 | 138 | 8  | Voltage | V
thresh_pss_1| d | (0.0, 10.0) | 1 | 146 | 8  | (threshold) | --
radius_pss_1| d | (0.0, 20.0) | 1 | 154 | 8  | (radius) | --
good_pss_1  | c | --          | 1 | 162 | 1  | (good flag) | --
x_raw_pss_1 | d | --          | 1 | 163 | 8  | Raw X | --
y_raw_pss_1 | d | --          | 1 | 171 | 8  | Raw Y | --
x_corr_pss_1| d | --          | 1 | 179 | 8  | Corrected X | --
y_corr_pss_1| d | --          | 1 | 187 | 8  | Corrected Y | --
az_pss_1    | d | (0.0,360.0) | 1 | 195 | 8  | Azimuth | deg
el_pss_1    | d | (0.0,360.0) | 1 | 203 | 8  | Elevation | deg
valid_pss_1 | c | --          | 1 | 211 | 1  | (valid flag) | --

v_x1_pss_2 | d | (0.0, 50.0) | 1 | 212 | 8  | Voltage | V
v_x2_pss_2 | d | (0.0, 50.0) | 1 | 220 | 8  | Voltage | V
v_y1_pss_2 | d | (0.0, 50.0) | 1 | 228 | 8  | Voltage | V
v_y2_pss_2 | d | (0.0, 50.0) | 1 | 236 | 8  | Voltage | V
v_sum_pss_2| d | (0.0, 50.0) | 1 | 244 | 8  | Voltage | V
thresh_pss_2| d | (0.0, 10.0) | 1 | 252 | 8  | (threshold) | --
radius_pss_2| d | (0.0, 20.0) | 1 | 260 | 8  | (radius) | --
good_pss_2  | c | --          | 1 | 268 | 1  | (good flag) | --
x_raw_pss_2 | d | --          | 1 | 269 | 8  | Raw X | --
y_raw_pss_2 | d | --          | 1 | 277 | 8  | Raw Y | --
x_corr_pss_2| d | --          | 1 | 285 | 8  | Corrected X | --
y_corr_pss_2| d | --          | 1 | 293 | 8  | Corrected Y | --
az_pss_2    | d | (0.0,360.0) | 1 | 301 | 8  | Azimuth | deg
el_pss_2    | d | (0.0,360.0) | 1 | 309 | 8  | Elevation | deg
valid_pss_2 | c | --          | 1 | 317 | 1  | (valid flag) | --

v_x1_pss_3 | d | (0.0, 50.0) | 1 | 318 | 8  | Voltage | V
v_x2_pss_3 | d | (0.0, 50.0) | 1 | 326 | 8  | Voltage | V
